iter	RMSE
0	36.35533697
1	34.18229478
2	32.57000402
3	31.10099191
4	29.85033094
5	28.70881137
6	27.77762877
7	26.92457296
8	26.25643357
9	25.62290527
10	25.09973023
11	24.62783847
12	24.25881554
13	23.90740774
14	23.61218538
15	23.34333818
16	23.12967865
17	22.84477675
18	22.68310002
19	22.44248934
20	22.25917068
21	22.10906297
22	21.97322942
23	21.82115119
24	21.69687746
25	21.53637118
26	21.43344845
27	21.37313544
28	21.25097045
29	21.17227764
30	21.0608124
31	20.94669831
32	20.83915927
33	20.75985312
34	20.65935214
35	20.57800821
36	20.47984979
37	20.36323274
38	20.28353081
39	20.2210621
40	20.16048419
41	20.05119807
42	19.97020411
43	19.8646833
44	19.79658384
45	19.73467895
46	19.65217857
47	19.54746685
48	19.49624464
49	19.43359788
50	19.38284662
51	19.28576486
52	19.2130689
53	19.1665793
54	19.09517799
55	19.04752639
56	19.00137334
57	18.94906141
58	18.86583232
59	18.80741883
60	18.72760302
61	18.66565035
62	18.61314937
63	18.52707731
64	18.47998134
65	18.38993771
66	18.32959185
67	18.26288125
68	18.21457344
69	18.15447136
70	18.07727033
71	18.00611401
72	17.92995625
73	17.88716992
74	17.82181508
75	17.75430288
76	17.67935491
77	17.63012549
78	17.58756379
79	17.51259578
80	17.45143275
81	17.41004388
82	17.36291194
83	17.31954111
84	17.27273446
85	17.21813198
86	17.14732653
87	17.11119287
88	17.06911057
89	17.01276517
90	16.9565254
91	16.90913851
92	16.8539999
93	16.7954622
94	16.72659666
95	16.66963526
96	16.63199888
97	16.59043315
98	16.530082
99	16.48724357
100	16.44403003
101	16.40423824
102	16.35966963
103	16.32488584
104	16.27110996
105	16.21553541
106	16.17859047
107	16.14765585
108	16.10310238
109	16.07371682
110	16.04701941
111	16.00021745
112	15.97056584
113	15.92038455
114	15.8858201
115	15.84176114
116	15.80704227
117	15.73940304
118	15.68955238
119	15.63649021
120	15.57954674
121	15.53515057
122	15.49892966
123	15.43621069
124	15.38944355
125	15.3545532
126	15.32368426
127	15.29534795
128	15.25068961
129	15.21556112
130	15.15340072
131	15.10307764
132	15.07693716
133	15.02664111
134	14.97115669
135	14.92326018
136	14.89105861
137	14.85118168
138	14.7943685
